ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
815	"ENSMUSG00000110018.3"	"5430437J10Rik"	chr15	+	5610653	5610749	5616455	5616518	5610109	5610303	5617166	5617252
816	"ENSMUSG00000034413.15"	"Neurl1b"	chr17	+	26650760	26651306	26657640	26658333	26633802	26633969	26660051	26660177
817	"ENSMUSG00000052102.16"	"Gnpda1"	chr18	-	38463538	38463713	38465020	38465205	38460610	38462026	38466206	38466389
818	"ENSMUSG00000052102.16"	"Gnpda1"	chr18	-	38468068	38468170	38471143	38471275	38466206	38466389	38471960	38472029
819	"ENSMUSG00000004552.17"	"Ctse"	chr1	+	131592021	131592140	131595774	131595974	131591048	131591166	131598423	131598546
820	"ENSMUSG00000018900.8"	"Slc22a5"	chr11	-	53765760	53765932	53766834	53766989	53764493	53764620	53774486	53774590
821	"ENSMUSG00000018900.8"	"Slc22a5"	chr11	-	53765760	53765932	53774486	53774590	53764493	53764620	53781972	53782486
822	"ENSMUSG00000018900.8"	"Slc22a5"	chr11	-	53766834	53766989	53774486	53774590	53764493	53764620	53781972	53782486
823	"ENSMUSG00000018900.8"	"Slc22a5"	chr11	-	53766834	53766989	53774486	53774590	53765760	53765932	53781972	53782486
824	"ENSMUSG00000017897.19"	"Eya2"	chr2	+	165573472	165573556	165596360	165596450	165566593	165566736	165603823	165603882
825	"ENSMUSG00000053291.16"	"Rab4b"	chr7	-	26874140	26874203	26875203	26875318	26873846	26874001	26875582	26875663
826	"ENSMUSG00000053291.16"	"Rab4b"	chr7	-	26875203	26875318	26875582	26875663	26874140	26874203	26878151	26878321
827	"ENSMUSG00000070733.14"	"Fryl"	chr5	-	73352328	73352456	73378250	73378415	73305359	73305565	73413742	73413962
828	"ENSMUSG00000029110.14"	"Rnf4"	chr5	+	34506893	34506903	34507255	34507415	34506007	34506087	34508133	34508182
829	"ENSMUSG00000029110.14"	"Rnf4"	chr5	+	34507255	34507415	34508133	34508182	34506893	34506903	34508574	34510768
830	"ENSMUSG00000032212.11"	"Sltm"	chr9	+	70451251	70451339	70466318	70466383	70450035	70450363	70469057	70469255
831	"ENSMUSG00000032212.11"	"Sltm"	chr9	+	70466318	70466383	70469057	70469255	70451251	70451339	70470095	70470143
832	"ENSMUSG00000032212.11"	"Sltm"	chr9	+	70466318	70466383	70470095	70470143	70451251	70451339	70479430	70479458
833	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58305125	58305189	58314042	58314224	58296212	58296308	58327810	58327977
834	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58306757	58306861	58314042	58314224	58305125	58305189	58327810	58327977
835	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58309266	58309344	58314042	58314224	58306757	58306861	58327810	58327977
836	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58314042	58314224	58327810	58327977	58305125	58305189	58343438	58343789
837	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58314042	58314224	58327810	58327977	58306757	58306861	58343438	58343789
838	"ENSMUSG00000022747.18"	"St3gal6"	chr16	-	58314042	58314224	58327810	58327977	58309266	58309344	58343438	58343789
839	"ENSMUSG00000036893.18"	"Ehmt1"	chr2	-	24691518	24691597	24692032	24692119	24682292	24682468	24693025	24693141
840	"ENSMUSG00000036893.18"	"Ehmt1"	chr2	-	24774157	24774714	24777014	24777081	24767466	24767638	24809565	24809586
841	"ENSMUSG00000036893.18"	"Ehmt1"	chr2	-	24774157	24774714	24777014	24777078	24767466	24767638	24809565	24809599
842	"ENSMUSG00000037013.18"	"Ss18"	chr18	-	14770448	14770541	14773313	14773418	14769552	14769675	14774012	14774180
843	"ENSMUSG00000037013.18"	"Ss18"	chr18	-	14774012	14774180	14784079	14784301	14769552	14769675	14788083	14788237
844	"ENSMUSG00000037013.18"	"Ss18"	chr18	-	14784079	14784301	14788083	14788237	14774012	14774180	14803365	14803450
845	"ENSMUSG00000037013.18"	"Ss18"	chr18	-	14788083	14788237	14803365	14803450	14784079	14784301	14812443	14812520
846	"ENSMUSG00000033423.17"	"Eri3"	chr4	+	117410164	117410240	117421817	117422095	117407561	117407927	117439796	117439913
847	"ENSMUSG00000033423.17"	"Eri3"	chr4	+	117421817	117422095	117439796	117439913	117407561	117407927	117446294	117446354
848	"ENSMUSG00000033423.17"	"Eri3"	chr4	+	117421817	117422095	117439796	117439913	117410164	117410240	117446294	117446354
849	"ENSMUSG00000033423.17"	"Eri3"	chr4	+	117439796	117439913	117446294	117446354	117421817	117422095	117450267	117450359
850	"ENSMUSG00000033423.17"	"Eri3"	chr4	+	117472365	117472438	117506503	117506603	117450267	117450359	117530937	117531494
851	"ENSMUSG00000022378.15"	"Cyrib"	chr15	-	63828448	63828531	63842778	63842817	63821854	63821976	63869746	63869818
852	"ENSMUSG00000022378.15"	"Cyrib"	chr15	-	63828448	63828531	63842778	63842817	63821854	63821976	63894418	63894469
853	"ENSMUSG00000022378.15"	"Cyrib"	chr15	-	63828448	63828531	63894418	63894469	63821854	63821976	63932043	63932192
854	"ENSMUSG00000022378.15"	"Cyrib"	chr15	-	63828448	63828531	63842778	63842817	63821854	63821976	63932043	63932297
855	"ENSMUSG00000035443.11"	"Thyn1"	chr9	+	26911246	26911352	26914892	26915074	26911005	26911061	26916441	26916510
856	"ENSMUSG00000052713.10"	"Zfp608"	chr18	-	55030236	55032691	55033284	55033372	55028291	55028709	55079624	55079880
857	"ENSMUSG00000052713.10"	"Zfp608"	chr18	-	55033284	55033372	55079624	55079880	55028291	55028709	55120682	55121778
858	"ENSMUSG00000052713.10"	"Zfp608"	chr18	-	55033284	55033372	55079624	55079880	55030236	55032691	55120682	55121778
859	"ENSMUSG00000052748.15"	"Swt1"	chr1	-	151283326	151283386	151295850	151295934	151281166	151281296	151297784	151297871
860	"ENSMUSG00000052748.15"	"Swt1"	chr1	-	151288541	151288597	151295850	151295934	151283326	151283386	151297784	151297871
861	"ENSMUSG00000052748.15"	"Swt1"	chr1	-	151295850	151295934	151297784	151297871	151283326	151283386	151299257	151299356
862	"ENSMUSG00000052748.15"	"Swt1"	chr1	-	151295850	151295934	151297784	151297871	151288541	151288597	151299257	151299356
863	"ENSMUSG00000000399.11"	"Ndufa9"	chr6	-	126811391	126811459	126813181	126813284	126809434	126809511	126817460	126817602
864	"ENSMUSG00000000399.11"	"Ndufa9"	chr6	-	126819083	126819175	126821270	126821368	126817460	126817602	126821753	126821924
865	"ENSMUSG00000109865.2"	"Hspa14"	chr2	-	3490734	3490805	3491973	3492147	3489886	3490106	3492557	3492770
866	"ENSMUSG00000109865.2"	"Hspa14"	chr2	-	3503530	3503636	3503773	3503822	3502084	3502175	3512051	3512134
867	"ENSMUSG00000109865.2"	"Hspa14"	chr2	-	3503773	3503822	3512051	3512134	3503530	3503636	3512210	3512291
868	"ENSMUSG00000090083.12"	"Rnf8"	chr17	+	29850644	29850734	29853634	29853742	29847933	29847996	29854791	29854996
869	"ENSMUSG00000090083.12"	"Rnf8"	chr17	+	29853634	29853742	29854791	29854996	29850644	29850734	29860189	29863965
870	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28689688	28689896	28745423	28745562	28644018	28645044	28792500	28792611
871	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28689688	28689896	28956601	28956649	28644018	28645044	29067297	29067560
872	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28745423	28745562	28792500	28792611	28644018	28645044	28852352	28852687
873	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28745423	28745562	28956601	28956649	28644018	28645044	29067297	29067560
874	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28745423	28745562	28792500	28792611	28689688	28689896	28852352	28852687
875	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28745423	28745562	28914373	28914486	28689688	28689896	28956601	28956649
876	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28792500	28792611	28956601	28956649	28644018	28645044	29067297	29067560
877	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28792500	28792611	28852352	28852687	28745423	28745562	28914373	28914486
878	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28792500	28792611	28956601	28956649	28745423	28745562	29067297	29067560
879	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28852352	28852687	28956601	28956649	28745423	28745562	29067297	29067560
880	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28852352	28852687	28914373	28914486	28792500	28792611	28956601	28956649
881	"ENSMUSG00000085936.9"	"2610307P16Rik"	chr13	-	28853764	28853977	28914373	28914486	28852352	28852687	28956601	28956649
882	"ENSMUSG00000030116.15"	"Mfap5"	chr6	+	122498851	122498887	122501445	122501469	122497854	122497887	122502909	122502997
883	"ENSMUSG00000014602.16"	"Kif1a"	chr1	-	92954553	92954577	92962267	92962294	92953342	92953457	92964567	92964673
884	"ENSMUSG00000001175.17"	"Calm1"	chr12	+	100168651	100168682	100169833	100169977	100165693	100165975	100171871	100171978
885	"ENSMUSG00000001175.17"	"Calm1"	chr12	+	100168651	100168682	100171871	100171978	100165693	100165975	100172356	100172492
886	"ENSMUSG00000001175.17"	"Calm1"	chr12	+	100169833	100169977	100171871	100171978	100165693	100165975	100172356	100172492
887	"ENSMUSG00000001175.17"	"Calm1"	chr12	+	100169833	100169977	100171871	100171978	100168651	100168682	100172356	100172492
888	"ENSMUSG00000033554.18"	"Dph5"	chr3	+	115682088	115682246	115686360	115686485	115681821	115681926	115693343	115694791
889	"ENSMUSG00000033554.18"	"Dph5"	chr3	+	115686360	115686485	115693343	115693452	115682088	115682246	115708688	115708809
890	"ENSMUSG00000033554.18"	"Dph5"	chr3	+	115693343	115693452	115708688	115708809	115686360	115686485	115718860	115718900
891	"ENSMUSG00000012114.18"	"Med15"	chr16	-	17481240	17481360	17489408	17489537	17473541	17473669	17490932	17491262
892	"ENSMUSG00000012114.18"	"Med15"	chr16	-	17498412	17498625	17501022	17501052	17492268	17492522	17503316	17503368
893	"ENSMUSG00000031068.9"	"Glrx3"	chr7	+	137054425	137054500	137066143	137066236	137046707	137046816	137069661	137070323
894	"ENSMUSG00000031068.9"	"Glrx3"	chr7	+	137063074	137063132	137065826	137065866	137061209	137061271	137066143	137066236
895	"ENSMUSG00000021022.10"	"Ppp2r3c"	chr12	-	55340566	55340664	55344562	55344675	55339288	55339359	55345195	55345300
896	"ENSMUSG00000021022.10"	"Ppp2r3c"	chr12	-	55344562	55344675	55345195	55345300	55340566	55340664	55345678	55345806
897	"ENSMUSG00000044308.18"	"Ubr3"	chr2	+	69848736	69848916	69850794	69851004	69846683	69846809	69851455	69851595
898	"ENSMUSG00000023961.17"	"Enpp4"	chr17	-	44412201	44412372	44412697	44413555	44407198	44410568	44416539	44416700
899	"ENSMUSG00000023961.17"	"Enpp4"	chr17	-	44412201	44412372	44412697	44413555	44407206	44410568	44416601	44416655
900	"ENSMUSG00000021982.15"	"Cdadc1"	chr14	-	59829909	59829984	59834310	59834408	59827236	59827414	59835203	59835285
901	"ENSMUSG00000019528.19"	"Gyg"	chr3	-	20179421	20179641	20192180	20192307	20176247	20177028	20204702	20204865
902	"ENSMUSG00000019528.19"	"Gyg"	chr3	-	20205116	20205291	20206893	20207029	20204702	20204865	20209161	20209260
903	"ENSMUSG00000023832.15"	"Acat2"	chr17	-	13167400	13167544	13171138	13171256	13166243	13166366	13178881	13179016
904	"ENSMUSG00000020687.14"	"Cdc27"	chr11	-	104419403	104419558	104420166	104420264	104417688	104417803	104422555	104422681
905	"ENSMUSG00000020687.14"	"Cdc27"	chr11	-	104420166	104420264	104422555	104422681	104417688	104417803	104425563	104425711
906	"ENSMUSG00000020687.14"	"Cdc27"	chr11	-	104420166	104420264	104422555	104422681	104419403	104419558	104425563	104425711
907	"ENSMUSG00000020366.19"	"Mapk9"	chr11	+	49764662	49764734	49765090	49765162	49763560	49763726	49769057	49769240
908	"ENSMUSG00000025889.14"	"Snca"	chr6	-	60795307	60795349	60804464	60804611	60792600	60792743	60805707	60805988
909	"ENSMUSG00000025889.14"	"Snca"	chr6	-	60795307	60795349	60804464	60804611	60792600	60792743	60806654	60806839
910	"ENSMUSG00000046949.17"	"Nqo2"	chr13	+	34152172	34152260	34156294	34156459	34148669	34148783	34163514	34163645
911	"ENSMUSG00000046949.17"	"Nqo2"	chr13	+	34152172	34152260	34156294	34156459	34150027	34150109	34163514	34163645
912	"ENSMUSG00000046949.17"	"Nqo2"	chr13	+	34165407	34165521	34166430	34166532	34163514	34163645	34169298	34169622
913	"ENSMUSG00000075415.14"	"Fnbp1"	chr2	-	30934893	30934908	30942996	30943092	30930416	30930526	30944035	30944230
914	"ENSMUSG00000075415.14"	"Fnbp1"	chr2	-	30934893	30934908	30942996	30943149	30930416	30930526	30944035	30944230
915	"ENSMUSG00000075415.14"	"Fnbp1"	chr2	-	30934893	30934908	30942996	30943179	30930416	30930526	30944035	30944230
916	"ENSMUSG00000068329.13"	"Htra2"	chr6	-	83029678	83029784	83030018	83030051	83029453	83029523	83030309	83030504
917	"ENSMUSG00000068329.13"	"Htra2"	chr6	-	83030018	83030051	83030309	83030504	83029678	83029784	83030593	83030798
918	"ENSMUSG00000010362.10"	"Rdm1"	chr11	+	101521645	101521805	101524627	101524726	101521063	101521186	101525613	101525699
919	"ENSMUSG00000029012.12"	"Orc5"	chr5	-	22704973	22705086	22721701	22721812	22691486	22692215	22727388	22727436
920	"ENSMUSG00000063600.15"	"Egfem1"	chr3	+	29411293	29411344	29568036	29568159	29207645	29207750	29637055	29637178
921	"ENSMUSG00000026946.10"	"Nmi"	chr2	-	51848908	51849004	51850582	51850672	51845937	51846100	51862599	51862639
922	"ENSMUSG00000026946.10"	"Nmi"	chr2	-	51848908	51849004	51850582	51850672	51845937	51846100	51862985	51863236
923	"ENSMUSG00000027746.14"	"Ufm1"	chr3	-	53766662	53766695	53767654	53767694	53760796	53765416	53768635	53768693
924	"ENSMUSG00000027746.14"	"Ufm1"	chr3	-	53767654	53767694	53768635	53768693	53766231	53766695	53771034	53771091
925	"ENSMUSG00000027746.14"	"Ufm1"	chr3	-	53768635	53768693	53771034	53771091	53767654	53767694	53771169	53771187
926	"ENSMUSG00000022837.15"	"Iqcb1"	chr16	+	36649365	36649435	36651863	36651976	36648769	36648854	36652190	36652353
927	"ENSMUSG00000022837.15"	"Iqcb1"	chr16	+	36651863	36651976	36652190	36652353	36649365	36649435	36655877	36656007
928	"ENSMUSG00000022837.15"	"Iqcb1"	chr16	+	36669988	36670098	36671546	36671656	36667842	36668021	36676652	36676795
929	"ENSMUSG00000024807.19"	"Syvn1"	chr19	+	6097946	6098095	6098304	6098397	6096605	6097158	6098484	6098637
930	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119889962	119890064	119891130	119891198	119888008	119888102	119892194	119892313
931	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119889962	119890064	119892927	119893003	119888008	119888102	119895547	119895747
932	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119890859	119890953	119891130	119891198	119889962	119890064	119892194	119892313
933	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119891130	119891198	119892194	119892313	119888008	119888102	119892927	119893003
934	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119891130	119891198	119892927	119893003	119888008	119888102	119895547	119895747
935	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119891130	119891198	119892194	119892313	119889962	119890064	119892927	119893003
936	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119891130	119891198	119892194	119892313	119890859	119890953	119892927	119893003
937	"ENSMUSG00000030166.15"	"Rad52"	chr6	+	119897070	119897151	119897767	119897989	119895886	119896038	119899432	119899784
938	"ENSMUSG00000025630.9"	"Hprt"	chrX	+	52108981	52109028	52109199	52109276	52105223	52105306	52109943	52110536
939	"ENSMUSG00000028098.14"	"Rnf115"	chr3	+	96661650	96661709	96665292	96665350	96634979	96635226	96682945	96683157
940	"ENSMUSG00000028098.14"	"Rnf115"	chr3	+	96690963	96691035	96692308	96692381	96682945	96683157	96693246	96693340
941	"ENSMUSG00000027454.11"	"Gins1"	chr2	+	150759788	150759879	150767801	150767918	150751513	150751713	150769961	150770036
942	"ENSMUSG00000027454.11"	"Gins1"	chr2	+	150767801	150767918	150769961	150770036	150759788	150759879	150772760	150773200
943	"ENSMUSG00000046434.17"	"Hnrnpa1"	chr15	+	103151348	103151507	103152051	103152207	103151070	103151145	103152385	103152455
944	"ENSMUSG00000020167.15"	"Tcf3"	chr10	-	80246231	80246458	80248660	80248896	80245380	80246108	80249038	80249171
945	"ENSMUSG00000031590.9"	"Frg1"	chr8	-	41852601	41852693	41853798	41853903	41851992	41852103	41860681	41860796
946	"ENSMUSG00000031590.9"	"Frg1"	chr8	-	41853798	41853903	41860681	41860796	41852601	41852693	41863300	41863358
947	"ENSMUSG00000078812.11"	"Eif5a"	chr11	-	69808253	69808327	69808422	69808554	69807539	69808167	69808742	69808847
948	"ENSMUSG00000078812.11"	"Eif5a"	chr11	-	69810274	69810304	69811166	69811260	69809976	69810162	69811626	69811766
949	"ENSMUSG00000078812.11"	"Eif5a"	chr11	-	69810274	69810304	69811166	69811260	69809976	69810162	69811849	69811911
950	"ENSMUSG00000078812.11"	"Eif5a"	chr11	-	69810274	69810304	69811166	69811260	69809976	69810162	69811988	69812212
951	"ENSMUSG00000023079.15"	"Gtf2ird1"	chr5	-	134389091	134389129	134391364	134391402	134387841	134387972	134392035	134392228
952	"ENSMUSG00000023079.15"	"Gtf2ird1"	chr5	-	134389807	134390000	134392035	134392228	134389091	134389129	134392755	134392833
953	"ENSMUSG00000023079.15"	"Gtf2ird1"	chr5	-	134419675	134419784	134421248	134421274	134418527	134418565	134424470	134424654
954	"ENSMUSG00000039294.15"	"Cybc1"	chr11	-	121117594	121117668	121118068	121118110	121116629	121116726	121119153	121119296
955	"ENSMUSG00000039294.15"	"Cybc1"	chr11	-	121118068	121118110	121119153	121119296	121117594	121117668	121119864	121120135
956	"ENSMUSG00000015714.12"	"Cers2"	chr3	+	95227952	95228070	95228252	95228371	95227372	95227546	95228500	95228558
957	"ENSMUSG00000079179.11"	"Rab10os"	chr12	+	3287284	3287412	3287590	3287660	3285441	3285929	3288028	3291410
958	"ENSMUSG00000079179.11"	"Rab10os"	chr12	+	3287284	3287412	3287590	3287660	3285510	3285929	3288063	3288112
959	"ENSMUSG00000079179.11"	"Rab10os"	chr12	+	3287346	3287412	3287590	3287660	3285481	3285929	3288063	3288112
960	"ENSMUSG00000079179.11"	"Rab10os"	chr12	+	3287346	3287412	3287590	3287660	3285784	3285929	3288028	3288112
961	"ENSMUSG00000042474.7"	"Fcmr"	chr1	+	130805919	130806078	130806189	130806248	130805489	130805641	130808211	130808528
962	"ENSMUSG00000052087.15"	"Rgs14"	chr13	+	55525819	55525841	55526032	55526211	55517544	55517749	55526514	55526607
963	"ENSMUSG00000044811.14"	"Cd300c2"	chr11	-	114889040	114889161	114891454	114891811	114887546	114887861	114892312	114892706
964	"ENSMUSG00000015149.15"	"Sirt2"	chr7	+	28476282	28476324	28476420	28476527	28471519	28471633	28476615	28476672
965	"ENSMUSG00000015149.15"	"Sirt2"	chr7	+	28478346	28478415	28482193	28482323	28476615	28476672	28484804	28484864
966	"ENSMUSG00000037580.11"	"Gch1"	chr14	-	47403932	47403988	47406668	47406778	47396319	47396351	47426408	47426870
967	"ENSMUSG00000006589.9"	"Aprt"	chr8	-	123301875	123301954	123302140	123302274	123301375	123301766	123303253	123303360
968	"ENSMUSG00000030107.11"	"Usp18"	chr6	+	121245504	121245636	121246056	121246106	121239617	121239785	121247430	121247876
969	"ENSMUSG00000020571.14"	"Pdia6"	chr12	+	17323945	17324003	17324384	17324511	17320396	17320538	17327198	17327305
970	"ENSMUSG00000074781.6"	"Ube2n"	chr10	+	95377066	95377313	95377499	95377640	95351006	95351099	95378133	95381519
971	"ENSMUSG00000015575.16"	"Atp6v0e"	chr17	+	26901651	26901699	26914328	26914458	26895343	26895552	26918185	26918621
972	"ENSMUSG00000036411.11"	"9530077C05Rik"	chr9	+	22335408	22336103	22342971	22343104	22322808	22323045	22346390	22346696
973	"ENSMUSG00000002395.15"	"Use1"	chr8	+	71820413	71820492	71820602	71820755	71819860	71820013	71821193	71821206
974	"ENSMUSG00000002395.15"	"Use1"	chr8	+	71820602	71820755	71821193	71821206	71820413	71820492	71821493	71821521
975	"ENSMUSG00000002395.15"	"Use1"	chr8	+	71821193	71821206	71821493	71821521	71820602	71820755	71821775	71821947
976	"ENSMUSG00000002395.15"	"Use1"	chr8	+	71821493	71821521	71821775	71821947	71821193	71821206	71822170	71822373
977	"ENSMUSG00000026875.15"	"Traf1"	chr2	-	34849486	34849525	34850832	34850899	34848524	34848623	34851535	34851784
978	"ENSMUSG00000034744.14"	"Nagk"	chr6	+	83773888	83773973	83774158	83774257	83772009	83772230	83774937	83775079
979	"ENSMUSG00000021460.18"	"Auh"	chr13	-	52992121	52992169	52993593	52993644	52989154	52989587	52994912	52995100
980	"ENSMUSG00000021460.18"	"Auh"	chr13	-	53041276	53041333	53043138	53043231	52994912	52995100	53052685	53052772
981	"ENSMUSG00000021460.18"	"Auh"	chr13	-	53043138	53043231	53052685	53052772	52994912	52995100	53073036	53073124
982	"ENSMUSG00000021460.18"	"Auh"	chr13	-	53043138	53043231	53052685	53052772	53041276	53041333	53073036	53073124
983	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31254782	31254890	31305223	31305295	31197251	31197454	31312925	31312997
984	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31254782	31254890	31261937	31262055	31221039	31221293	31298324	31298411
985	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31261937	31262055	31305223	31305295	31254782	31254890	31312925	31312997
986	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31261937	31262055	31305223	31305324	31254782	31254890	31312925	31312997
987	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31261937	31262055	31305266	31305295	31254782	31254890	31312925	31312997
988	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31261937	31262055	31305266	31305324	31254782	31254890	31312925	31312997
989	"ENSMUSG00000070953.14"	"Rabepk"	chr2	-	34680514	34680667	34685183	34685341	34675578	34675740	34687386	34687445
990	"ENSMUSG00000070953.14"	"Rabepk"	chr2	-	34685183	34685341	34687386	34687445	34680514	34680667	34689762	34689924
991	"ENSMUSG00000037266.19"	"Rsrp1"	chr4	+	134651185	134651793	134652603	134652743	134650902	134651078	134654045	134654129
992	"ENSMUSG00000022663.4"	"Atg3"	chr16	+	44998592	44998674	45003018	45003053	44995611	44995661	45003183	45003339
993	"ENSMUSG00000051998.15"	"Lax1"	chr1	-	133611743	133611847	133616558	133616742	133611275	133611380	133617546	133617846
994	"ENSMUSG00000054452.11"	"Tle5"	chr10	+	81397052	81397150	81399928	81399992	81395327	81395502	81400506	81400551
995	"ENSMUSG00000054452.11"	"Tle5"	chr10	+	81399928	81399992	81400506	81400551	81397052	81397150	81400681	81400744
996	"ENSMUSG00000054452.11"	"Tle5"	chr10	+	81400506	81400551	81400681	81400744	81399928	81399992	81401125	81401200
997	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16064537	16064607	16070618	16070763	16054158	16054805	16092960	16093066
998	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16064537	16064607	16070618	16070763	16060974	16061854	16092960	16093066
999	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16070618	16070763	16092960	16093066	16064537	16064607	16100731	16100831
1000	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16100731	16100831	16112289	16112401	16092960	16093066	16121565	16121710
1001	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16102433	16102576	16104211	16104385	16100731	16100831	16112289	16112401
1002	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16104211	16104385	16112289	16112401	16100731	16100831	16121565	16121710
1003	"ENSMUSG00000052833.10"	"Sae1"	chr7	-	16104211	16104385	16112289	16112401	16102433	16102576	16121565	16121710
1004	"ENSMUSG00000023010.16"	"Tmbim6"	chr15	+	99291575	99291611	99297537	99297752	99290866	99290921	99299460	99299544
1005	"ENSMUSG00000023010.16"	"Tmbim6"	chr15	+	99291575	99291611	99299941	99300050	99290866	99290921	99302294	99302415
1006	"ENSMUSG00000023010.16"	"Tmbim6"	chr15	+	99302294	99302415	99303597	99303646	99290762	99290921	99303741	99303839
1007	"ENSMUSG00000023010.16"	"Tmbim6"	chr15	+	99303597	99303646	99303741	99303839	99302294	99302415	99304032	99304112
1008	"ENSMUSG00000031722.11"	"Hp"	chr8	-	110303336	110303411	110303761	110303863	110301759	110302681	110304111	110304194
1009	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119042737	119043019	119044292	119044631	119041107	119041224	119044826	119044916
1010	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119044292	119044631	119044826	119044916	119042737	119043019	119046055	119046140
1011	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119044292	119044631	119046055	119046140	119042737	119043019	119047002	119047173
1012	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119044826	119044916	119046055	119046140	119042737	119043019	119047002	119047173
1013	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119044826	119044916	119046055	119046140	119044292	119044631	119047002	119047173
1014	"ENSMUSG00000004018.10"	"Fancl"	chr11	+	26353321	26353378	26357547	26357648	26349648	26349709	26372407	26372504
1015	"ENSMUSG00000004018.10"	"Fancl"	chr11	+	26418671	26418717	26418800	26418882	26418334	26418418	26419651	26419768
1016	"ENSMUSG00000024556.5"	"Me2"	chr18	-	73906200	73906299	73908449	73908520	73902973	73903879	73914112	73914215
1017	"ENSMUSG00000024556.5"	"Me2"	chr18	-	73930899	73931049	73938122	73938240	73927851	73928013	73948374	73948509
1018	"ENSMUSG00000038116.17"	"Phf20"	chr2	+	156096145	156096230	156109074	156109462	156093695	156093867	156114461	156114575
1019	"ENSMUSG00000038116.17"	"Phf20"	chr2	+	156106200	156106280	156109074	156109462	156093695	156093867	156114461	156114575
1020	"ENSMUSG00000053644.14"	"Aldh7a1"	chr18	-	56665559	56665666	56667261	56667346	56665052	56665169	56670275	56670370
1021	"ENSMUSG00000053644.14"	"Aldh7a1"	chr18	-	56675296	56675394	56678036	56678114	56671772	56671814	56679975	56680020
1022	"ENSMUSG00000029407.11"	"Uso1"	chr5	+	92343206	92343293	92346194	92346293	92341870	92342034	92347675	92347783
1023	"ENSMUSG00000035208.17"	"Slfn8"	chr11	-	82894882	82895606	82904190	82904325	82892983	82894715	82907478	82908548
1024	"ENSMUSG00000025878.17"	"Uimc1"	chr13	-	55177228	55177271	55178765	55178829	55175692	55176531	55182701	55182879
1025	"ENSMUSG00000025878.17"	"Uimc1"	chr13	-	55178765	55178829	55182701	55182879	55177228	55177271	55188357	55188436
1026	"ENSMUSG00000025878.17"	"Uimc1"	chr13	-	55217534	55217620	55223070	55223807	55208078	55208155	55224114	55224220
1027	"ENSMUSG00000025878.17"	"Uimc1"	chr13	-	55217534	55217620	55224114	55224220	55208078	55208155	55225215	55225340
1028	"ENSMUSG00000031023.6"	"Akip1"	chr7	+	109303152	109303377	109304157	109304238	109302896	109302983	109306604	109306718
1029	"ENSMUSG00000031023.6"	"Akip1"	chr7	+	109304157	109304238	109306604	109306718	109303152	109303377	109308147	109308228
1030	"ENSMUSG00000108815.2"	"Gm49388"	chr7	+	127400632	127400788	127401005	127401114	127400298	127400418	127401185	127401285
