ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
246	"ENSMUSG00000022768.18"	"Ccdc116"	chr16	-	16956927	16960066	16956927	16957933	16959463	16960066
247	"ENSMUSG00000087590.4"	"Epb41l4aos"	chr18	+	33928435	33929050	33928435	33928498	33928905	33929050
248	"ENSMUSG00000032806.14"	"Slc10a3"	chrX	-	73412822	73414617	73412822	73414046	73414133	73414617
249	"ENSMUSG00000072591.12"	"Fzd10os"	chr5	-	128662335	128662470	128662335	128662414	128662418	128662470
250	"ENSMUSG00000061718.13"	"Ppp1r1b"	chr11	+	98240821	98241455	98240821	98240936	98241394	98241455
251	"ENSMUSG00000037306.14"	"Man1c1"	chr4	-	134430255	134431601	134430255	134431077	134431507	134431601
252	"ENSMUSG00000120042.1"	"ENSMUSG00000120042"	chr7	+	78532372	78533464	78532372	78532484	78532684	78533464
253	"ENSMUSG00000044894.15"	"Uqcrq"	chr11	-	53321362	53321654	53321362	53321529	53321614	53321654
254	"ENSMUSG00000062609.15"	"Kcnj15"	chr16	+	95058416	95059310	95058416	95058593	95059105	95059310
255	"ENSMUSG00000062609.15"	"Kcnj15"	chr16	+	95058416	95059310	95058416	95058593	95059209	95059310
256	"ENSMUSG00000115744.2"	"Vmn1r80"	chr7	+	11926885	11937240	11926885	11927500	11931587	11937240
257	"ENSMUSG00000044966.5"	"Fbxo48"	chr11	+	16903141	16903681	16903141	16903253	16903348	16903681
258	"ENSMUSG00000037720.17"	"Tmem33"	chr5	+	67443438	67448804	67443438	67443559	67444352	67448804
259	"ENSMUSG00000075097.4"	"Olfr1226"	chr2	-	89026317	89027498	89026317	89026393	89027111	89027498
260	"ENSMUSG00000022967.14"	"Ifnar1"	chr16	+	91301942	91304329	91301942	91302302	91303414	91304329
261	"ENSMUSG00000112400.3"	"Gm47725"	chr10	+	95729359	95730151	95729359	95729522	95730062	95730151
262	"ENSMUSG00000057897.15"	"Camk2b"	chr11	-	5919671	5921826	5919671	5920131	5920161	5921826
263	"ENSMUSG00000086390.9"	"1810019D21Rik"	chr8	+	106863162	106863982	106863162	106863320	106863798	106863982
264	"ENSMUSG00000086390.9"	"1810019D21Rik"	chr8	+	106863162	106863982	106863162	106863320	106863801	106863982
265	"ENSMUSG00000086390.9"	"1810019D21Rik"	chr8	+	106864100	106865350	106864100	106864176	106864459	106865350
266	"ENSMUSG00000086390.9"	"1810019D21Rik"	chr8	+	106864459	106865355	106864459	106864892	106865031	106865355
267	"ENSMUSG00000001240.14"	"Ramp2"	chr11	+	101138411	101139076	101138411	101138514	101138636	101139076
268	"ENSMUSG00000070424.13"	"Art5"	chr7	-	101746987	101747717	101746987	101747141	101747422	101747717
269	"ENSMUSG00000070424.13"	"Art5"	chr7	-	101746987	101747717	101746987	101747141	101747435	101747717
270	"ENSMUSG00000031765.9"	"Mt1"	chr8	+	94906450	94906955	94906450	94906516	94906729	94906955
271	"ENSMUSG00000031543.19"	"Ank1"	chr8	+	23622112	23622650	23622112	23622487	23622577	23622650
272	"ENSMUSG00000031543.19"	"Ank1"	chr8	+	23622112	23622650	23622112	23622499	23622577	23622650
273	"ENSMUSG00000097156.9"	"Gm3764"	chr3	+	88134672	88136672	88134672	88134931	88136318	88136672
274	"ENSMUSG00000054115.13"	"Skp2"	chr15	-	9112072	9117055	9112072	9113955	9116947	9117055
275	"ENSMUSG00000040021.14"	"Lats1"	chr10	+	7588264	7589350	7588264	7589044	7589075	7589350
276	"ENSMUSG00000113535.3"	"AU015791"	chr12	+	105479674	105480716	105479674	105480390	105480563	105480716
277	"ENSMUSG00000046032.17"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470
278	"ENSMUSG00000116504.3"	"I730030J21Rik"	chr15	-	100629055	100630319	100629055	100629363	100630244	100630319
279	"ENSMUSG00000039174.15"	"1700003H04Rik"	chr3	-	124372083	124372233	124372083	124372152	124372154	124372233
280	"ENSMUSG00000090086.9"	"AI480526"	chr5	-	123271785	123272493	123271785	123272136	123272394	123272493
281	"ENSMUSG00000025272.17"	"Tro"	chrX	-	149428689	149432651	149428689	149429115	149432460	149432651
282	"ENSMUSG00000066892.15"	"Fbxl12"	chr9	-	20553319	20556051	20553319	20553392	20555868	20556051
283	"ENSMUSG00000075104.4"	"Olfr1219"	chr2	-	88902584	88908120	88902584	88905797	88907942	88908120
284	"ENSMUSG00000021819.12"	"Zswim8"	chr14	+	20763950	20764935	20763950	20764636	20764738	20764935
285	"ENSMUSG00000047215.15"	"Rpl9"	chr5	-	65545706	65546494	65545706	65545784	65546413	65546494
286	"ENSMUSG00000047215.15"	"Rpl9"	chr5	-	65545706	65547826	65545706	65546494	65547730	65547826
287	"ENSMUSG00000032182.16"	"Yipf2"	chr9	-	21499977	21501056	21499977	21500854	21500930	21501056
288	"ENSMUSG00000060459.15"	"Kng2"	chr16	-	22806095	22807075	22806095	22806375	22806994	22807075
289	"ENSMUSG00000069295.3"	"Vmn1r196"	chr13	+	22476244	22482530	22476244	22476417	22477152	22482530
290	"ENSMUSG00000069295.3"	"Vmn1r196"	chr13	+	22476244	22482530	22476244	22476417	22477630	22482530
291	"ENSMUSG00000069295.3"	"Vmn1r196"	chr13	+	22476244	22482530	22476244	22476417	22477820	22482530
292	"ENSMUSG00000052631.16"	"Sh2d6"	chr6	-	72496743	72497019	72496743	72496865	72496942	72497019
293	"ENSMUSG00000043843.18"	"Tmem145"	chr7	+	25014123	25015620	25014123	25014330	25014821	25015620
294	"ENSMUSG00000069601.15"	"Ank3"	chr10	+	69837752	69838431	69837752	69838061	69838340	69838431
295	"ENSMUSG00000074489.10"	"Bglap3"	chr3	-	88277434	88278786	88277434	88277670	88278680	88278786
296	"ENSMUSG00000070817.4"	"Vmn1r85"	chr7	-	12817239	12824044	12817239	12820209	12821046	12824044
297	"ENSMUSG00000035031.16"	"C8a"	chr4	-	104672875	104674857	104672875	104673106	104674749	104674857
298	"ENSMUSG00000040434.17"	"Large2"	chr2	-	92200910	92201238	92200910	92201008	92201083	92201238
299	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8702377	8702620	8702377	8702410	8702585	8702620
300	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8702848	8703190	8702848	8702887	8703145	8703190
301	"ENSMUSG00000004891.17"	"Nes"	chr3	+	87882727	87887758	87882727	87883887	87884019	87887758
302	"ENSMUSG00000038812.17"	"Trmt112"	chr19	+	6887951	6888396	6887951	6888041	6888119	6888396
303	"ENSMUSG00000094950.3"	"Vmn2r66"	chr7	-	84661031	84661476	84661031	84661166	84661254	84661476
304	"ENSMUSG00000048617.17"	"Rtbdn"	chr8	+	85676510	85677305	85676510	85676585	85677130	85677305
305	"ENSMUSG00000074284.8"	"Gm10658"	chr9	-	56964552	56965085	56964552	56964725	56964949	56965085
306	"ENSMUSG00000040310.13"	"Alx4"	chr2	+	93505640	93511684	93505640	93505769	93507576	93511684
307	"ENSMUSG00000120129.1"	"ENSMUSG00000120129"	chr8	+	112248947	112249231	112248947	112249017	112249155	112249231
308	"ENSMUSG00000004455.17"	"Ppp1cc"	chr5	+	122312117	122313336	122312117	122312178	122313042	122313336
309	"ENSMUSG00000052125.18"	"F730043M19Rik"	chr12	-	33197130	33197554	33197130	33197183	33197278	33197554
310	"ENSMUSG00000001632.17"	"Brpf1"	chr6	+	113298689	113299047	113298689	113298826	113298928	113299047
311	"ENSMUSG00000016664.17"	"Pacsin2"	chr15	-	83260322	83261931	83260322	83260675	83260963	83261931
312	"ENSMUSG00000016664.17"	"Pacsin2"	chr15	-	83286067	83286200	83286067	83286129	83286188	83286200
313	"ENSMUSG00000058427.11"	"Cxcl2"	chr5	+	91052215	91053797	91052215	91052299	91053047	91053797
314	"ENSMUSG00000079487.12"	"Med12"	chrX	+	100337563	100337781	100337563	100337618	100337693	100337781
315	"ENSMUSG00000097471.10"	"5830432E09Rik"	chr7	-	135253518	135254012	135253518	135253615	135253740	135254012
316	"ENSMUSG00000086775.8"	"Snhg7os"	chr2	+	26535513	26535956	26535513	26535615	26535759	26535956
317	"ENSMUSG00000120328.1"	"ENSMUSG00000120328"	chr13	-	52708390	52709756	52708390	52709069	52709142	52709756
318	"ENSMUSG00000024219.17"	"Anks1"	chr17	+	28278267	28281573	28278267	28278365	28279535	28281573
319	"ENSMUSG00000016346.18"	"Kcnq2"	chr2	-	180717371	180723568	180717371	180717995	180723247	180723568
320	"ENSMUSG00000033589.5"	"Reep4"	chr14	+	70784369	70784675	70784369	70784446	70784554	70784675
321	"ENSMUSG00000028034.16"	"Fubp1"	chr3	+	151938031	151942463	151938031	151940207	151942243	151942463
322	"ENSMUSG00000079563.11"	"Pglyrp2"	chr17	-	32636954	32637962	32636954	32637254	32637404	32637962
323	"ENSMUSG00000055048.8"	"Gm9962"	chr7	+	57053659	57053773	57053659	57053760	57053762	57053773
324	"ENSMUSG00000035629.20"	"Rubcn"	chr16	-	32663367	32663901	32663367	32663558	32663600	32663901
325	"ENSMUSG00000108579.2"	"Gm29918"	chr7	-	25277002	25277223	25277002	25277050	25277169	25277223
326	"ENSMUSG00000044365.16"	"Cxxc4"	chr3	+	133945163	133946476	133945163	133945638	133945908	133946476
327	"ENSMUSG00000020661.16"	"Dnmt3a"	chr12	+	3957605	3964443	3957605	3957786	3961275	3964443
328	"ENSMUSG00000039057.12"	"Myo16"	chr8	+	10619411	10620731	10619411	10620270	10620396	10620731
329	"ENSMUSG00000038214.16"	"Bend3"	chr10	+	43385842	43391392	43385842	43389812	43389958	43391392
330	"ENSMUSG00000097755.4"	"2010110K18Rik"	chr18	+	34887728	34889445	34887728	34887833	34889342	34889445
331	"ENSMUSG00000030232.19"	"Aebp2"	chr6	+	140596481	140598552	140596481	140596508	140597041	140598552
332	"ENSMUSG00000050711.8"	"Scg2"	chr1	-	79412385	79414735	79412385	79413648	79413768	79414735
333	"ENSMUSG00000091475.6"	"Cerox1"	chr17	+	25792959	25793506	25792959	25793118	25793220	25793506
334	"ENSMUSG00000040599.14"	"Mis12"	chr11	+	70910436	70911015	70910436	70910549	70910831	70911015
335	"ENSMUSG00000053198.15"	"Prx"	chr7	+	27214675	27219639	27214675	27214872	27215464	27219639
336	"ENSMUSG00000022420.17"	"Dnal4"	chr15	-	79645653	79646726	79645653	79646250	79646627	79646726
337	"ENSMUSG00000026782.16"	"Abi2"	chr1	+	60515898	60520317	60515898	60515991	60517161	60520317
338	"ENSMUSG00000030897.6"	"Cnga4"	chr7	+	105054095	105054483	105054095	105054197	105054376	105054483
339	"ENSMUSG00000035969.16"	"Rusc2"	chr4	+	43426227	43427088	43426227	43426365	43426447	43427088
340	"ENSMUSG00000046748.9"	"Tmem45a2"	chr16	-	56891352	56891715	56891352	56891500	56891648	56891715
341	"ENSMUSG00000028539.15"	"Artn"	chr4	-	117784820	117785339	117784820	117784958	117785216	117785339
342	"ENSMUSG00000059366.4"	"Olfr959"	chr9	-	39480678	39486248	39480678	39484908	39486195	39486248
343	"ENSMUSG00000024669.9"	"Cd5"	chr19	-	10702376	10702718	10702376	10702532	10702667	10702718
344	"ENSMUSG00000021268.19"	"Meg3"	chr12	+	109509909	109510625	109509909	109510061	109510524	109510625
345	"ENSMUSG00000032313.12"	"Tmem266"	chr9	+	55342474	55345629	55342474	55342537	55344390	55345629
346	"ENSMUSG00000114982.2"	"Vmn1r14"	chr6	+	57210390	57217870	57210390	57214489	57215026	57217870
347	"ENSMUSG00000036062.14"	"Phf24"	chr4	+	42933615	42933997	42933615	42933667	42933778	42933997
348	"ENSMUSG00000120037.1"	"ENSMUSG00000120037"	chr13	-	69153999	69155459	69153999	69154792	69155350	69155459
349	"ENSMUSG00000037112.17"	"Sik2"	chr9	-	50804100	50807261	50804100	50804689	50806643	50807261
350	"ENSMUSG00000037112.17"	"Sik2"	chr9	-	50804100	50807261	50804100	50805381	50806643	50807261
351	"ENSMUSG00000045340.5"	"Vmn1r70"	chr7	+	10365750	10370457	10365750	10365875	10367558	10370457
352	"ENSMUSG00000094586.5"	"Vmn1r41"	chr6	+	89723432	89724627	89723432	89723523	89724074	89724627
353	"ENSMUSG00000094586.5"	"Vmn1r41"	chr6	+	89723432	89724627	89723432	89723584	89724074	89724627
354	"ENSMUSG00000115701.2"	"Vmn1r6"	chr6	+	56974227	56974803	56974227	56974355	56974735	56974803
355	"ENSMUSG00000020926.17"	"Adam11"	chr11	+	102668456	102671088	102668456	102668474	102668956	102671088
356	"ENSMUSG00000031736.13"	"Crnde"	chr8	-	93072977	93073546	93072977	93073091	93073411	93073546
357	"ENSMUSG00000055323.7"	"Gm9967"	chr7	-	126375729	126376022	126375729	126375798	126375902	126376022
358	"ENSMUSG00000098202.3"	"B830012L14Rik"	chr12	+	109654101	109655593	109654101	109654175	109655517	109655593
359	"ENSMUSG00000078350.12"	"Smim1"	chr4	-	154108523	154110078	154108523	154108650	154109960	154110078
360	"ENSMUSG00000078350.12"	"Smim1"	chr4	-	154108523	154110078	154108523	154108807	154109960	154110078
361	"ENSMUSG00000100303.5"	"2600014E21Rik"	chr2	+	75131986	75133103	75131986	75132057	75133020	75133103
362	"ENSMUSG00000100303.5"	"2600014E21Rik"	chr2	+	75142934	75144391	75142934	75143355	75143843	75144391
363	"ENSMUSG00000039988.15"	"Ankrd13c"	chr3	+	157653050	157653593	157653050	157653068	157653112	157653593
364	"ENSMUSG00000059659.9"	"Gm10069"	chr6	+	128415759	128416350	128415759	128415810	128416017	128416350
365	"ENSMUSG00000029074.15"	"Ttll10"	chr4	-	156132748	156133161	156132748	156132952	156133039	156133161
366	"ENSMUSG00000027674.17"	"Pex5l"	chr3	-	33136124	33137209	33136124	33136284	33136964	33137209
367	"ENSMUSG00000027674.17"	"Pex5l"	chr3	-	33136124	33137209	33136124	33136378	33136964	33137209
368	"ENSMUSG00000041798.16"	"Gck"	chr11	-	5850819	5851814	5850819	5851087	5851662	5851814
369	"ENSMUSG00000033122.15"	"Hsd17b3"	chr13	-	64206087	64206493	64206087	64206233	64206373	64206493
370	"ENSMUSG00000020111.16"	"Micu1"	chr10	+	59699000	59699952	59699000	59699396	59699881	59699952
371	"ENSMUSG00000091670.4"	"Vmn2r105"	chr17	-	20446467	20446683	20446467	20446524	20446614	20446683
372	"ENSMUSG00000091670.4"	"Vmn2r105"	chr17	-	20446467	20446683	20446467	20446524	20446620	20446683
373	"ENSMUSG00000092569.3"	"Gm20544"	chr18	-	75491710	75493576	75491710	75492046	75493007	75493576
374	"ENSMUSG00000073956.4"	"Olfr592"	chr7	+	102835775	102842172	102835775	102836744	102837294	102842172
375	"ENSMUSG00000032816.16"	"Igdcc4"	chr9	+	65031057	65031471	65031057	65031195	65031197	65031471
376	"ENSMUSG00000052334.12"	"1700024B05Rik"	chr14	+	41820058	41820239	41820058	41820191	41820192	41820239
377	"ENSMUSG00000024622.9"	"Hmgxb3"	chr18	-	61290414	61290833	61290414	61290590	61290686	61290833
378	"ENSMUSG00000037974.17"	"Muc5ac"	chr7	+	141360684	141364548	141360684	141361449	141363558	141364548
379	"ENSMUSG00000037974.17"	"Muc5ac"	chr7	+	141360684	141364548	141360684	141361932	141364041	141364548
380	"ENSMUSG00000072244.12"	"Trim6"	chr7	+	103874713	103875187	103874713	103875013	103875091	103875187
381	"ENSMUSG00000041842.16"	"Fhdc1"	chr3	-	84381446	84382084	84381446	84381712	84381982	84382084
382	"ENSMUSG00000062044.17"	"Lmtk3"	chr7	+	45442547	45444985	45442547	45443955	45444122	45444985
383	"ENSMUSG00000029326.14"	"Enoph1"	chr5	+	100215657	100216619	100215657	100215800	100216154	100216619
384	"ENSMUSG00000072769.8"	"Gm10419"	chr5	+	108517221	108517544	108517221	108517351	108517419	108517544
385	"ENSMUSG00000072769.8"	"Gm10419"	chr5	+	108517221	108517544	108517221	108517351	108517426	108517544
386	"ENSMUSG00000121485.1"	"ENSMUSG00000121485"	chr13	-	12632143	12632388	12632143	12632152	12632251	12632388
387	"ENSMUSG00000121485.1"	"ENSMUSG00000121485"	chr13	-	12636246	12636396	12636246	12636297	12636378	12636396
388	"ENSMUSG00000026866.18"	"Kynu"	chr2	+	43571360	43572734	43571360	43571523	43572255	43572734
389	"ENSMUSG00000038618.13"	"Rassf7"	chr7	+	140797798	140798081	140797798	140797930	140798002	140798081
390	"ENSMUSG00000063011.8"	"Msln"	chr17	-	25973105	25973351	25973105	25973196	25973316	25973351
391	"ENSMUSG00000032363.16"	"Adamts7"	chr9	+	90075077	90076322	90075077	90075918	90076095	90076322
392	"ENSMUSG00000002997.16"	"Prkar2b"	chr12	-	32008474	32010521	32008474	32008720	32010380	32010521
393	"ENSMUSG00000037321.18"	"Tap1"	chr17	+	34411810	34411939	34411810	34411831	34411915	34411939
394	"ENSMUSG00000046262.15"	"Pramel29"	chr4	-	143933345	143935398	143933345	143934188	143934822	143935398
395	"ENSMUSG00000031816.16"	"Mthfsd"	chr8	-	121825446	121825891	121825446	121825510	121825737	121825891
396	"ENSMUSG00000043807.7"	"Ly6g5b"	chr17	-	35334093	35334404	35334093	35334222	35334318	35334404
397	"ENSMUSG00000005958.16"	"Ephb3"	chr16	+	21033074	21033747	21033074	21033422	21033543	21033747
398	"ENSMUSG00000022456.19"	"Septin3"	chr15	+	82174938	82178775	82174938	82175032	82175453	82178775
399	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160863321	160863584	160863321	160863374	160863552	160863584
400	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160863321	160863584	160863321	160863382	160863552	160863584
401	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864693	160864885	160864693	160864734	160864857	160864885
402	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864857	160865117	160864857	160864885	160865074	160865117
403	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864857	160865117	160864857	160864894	160865074	160865117
404	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160865074	160865607	160865074	160865117	160865564	160865607
405	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160865564	160865842	160865564	160865607	160865794	160865842
406	"ENSMUSG00000054526.6"	"Olfr1500"	chr19	-	13804245	13806217	13804245	13805934	13806084	13806217
407	"ENSMUSG00000060950.13"	"Trmt61a"	chr12	+	111644538	111645396	111644538	111644734	111645036	111645396
408	"ENSMUSG00000038491.10"	"Cdk19os"	chr10	-	40226043	40226099	40226043	40226085	40226087	40226099
409	"ENSMUSG00000005580.12"	"Adcy9"	chr16	-	4235716	4237452	4235716	4236836	4237059	4237452
410	"ENSMUSG00000086968.10"	"4933431E20Rik"	chr3	-	107801366	107802308	107801366	107801524	107802176	107802308
411	"ENSMUSG00000086968.10"	"4933431E20Rik"	chr3	-	107801366	107802308	107801366	107801531	107802176	107802308
412	"ENSMUSG00000086968.10"	"4933431E20Rik"	chr3	-	107801366	107802308	107801366	107801544	107802176	107802308
413	"ENSMUSG00000068876.17"	"Cgn"	chr3	-	94685303	94685580	94685303	94685375	94685510	94685580
414	"ENSMUSG00000068876.17"	"Cgn"	chr3	-	94685303	94685580	94685303	94685399	94685510	94685580
415	"ENSMUSG00000030591.18"	"Psmd8"	chr7	-	28873612	28874947	28873612	28874172	28874835	28874947
416	"ENSMUSG00000112071.3"	"5430401H09Rik"	chr12	-	32166067	32166419	32166067	32166206	32166352	32166419
417	"ENSMUSG00000112071.3"	"5430401H09Rik"	chr12	-	32166067	32166419	32166067	32166231	32166352	32166419
418	"ENSMUSG00000087424.3"	"5730405O15Rik"	chrX	+	12909795	12911536	12909795	12909895	12910842	12911536
419	"ENSMUSG00000021852.15"	"Slc35f4"	chr14	-	49556164	49556462	49556164	49556225	49556325	49556462
420	"ENSMUSG00000043747.13"	"1520401A03Rik"	chr17	-	23931126	23931385	23931126	23931156	23931343	23931385
421	"ENSMUSG00000040140.16"	"Tdrd6"	chr17	-	43934997	43941157	43934997	43938867	43939446	43941157
422	"ENSMUSG00000070323.12"	"Mmp27"	chr9	+	7573292	7573651	7573292	7573441	7573519	7573651
423	"ENSMUSG00000015467.15"	"Egfl8"	chr17	-	34832750	34832904	34832750	34832781	34832871	34832904
424	"ENSMUSG00000070436.13"	"Serpinh1"	chr7	-	99002088	99002321	99002088	99002172	99002259	99002321
425	"ENSMUSG00000045795.11"	"Whamm"	chr7	+	81243399	81243868	81243399	81243466	81243760	81243868
426	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88403104	88403769	88403104	88403501	88403702	88403769
427	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88403702	88404028	88403702	88403769	88403970	88404028
428	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88403702	88404434	88403702	88403769	88404359	88404434
429	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88403702	88404434	88403702	88404028	88404359	88404434
430	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88404536	88404941	88404536	88404591	88404685	88404941
431	"ENSMUSG00000038241.17"	"Cep250"	chr2	+	155811914	155812156	155811914	155812076	155812139	155812156
432	"ENSMUSG00000002107.19"	"Celf2"	chr2	-	6544515	6552024	6544515	6550486	6551852	6552024
433	"ENSMUSG00000002107.19"	"Celf2"	chr2	-	6544515	6552024	6544515	6551590	6551852	6552024
434	"ENSMUSG00000050708.17"	"Ftl1"	chr7	-	45108507	45108654	45108507	45108546	45108615	45108654
435	"ENSMUSG00000053375.9"	"Atp6v1e2"	chr17	-	87253067	87253355	87253067	87253125	87253214	87253355
436	"ENSMUSG00000040703.12"	"Cyp2s1"	chr7	-	25501899	25503482	25501899	25503184	25503340	25503482
437	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945904	114946409	114945904	114945973	114946235	114946409
438	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945919	114946409	114945919	114946003	114946235	114946409
439	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945904	114946409	114945904	114945973	114946276	114946409
440	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945919	114946409	114945919	114946003	114946276	114946409
441	"ENSMUSG00000049606.17"	"Zfp644"	chr5	-	106783475	106786501	106783475	106784189	106784282	106786501
442	"ENSMUSG00000085643.3"	"Gm12519"	chr4	-	55969197	55970771	55969197	55969232	55970655	55970771
443	"ENSMUSG00000085643.3"	"Gm12519"	chr4	-	55973656	55974223	55973656	55973730	55973987	55974223
444	"ENSMUSG00000028102.16"	"Pex11b"	chr3	+	96550890	96552042	96550890	96551331	96551751	96552042
445	"ENSMUSG00000064068.16"	"Mtx1"	chr3	-	89119989	89120253	89119989	89120069	89120183	89120253
446	"ENSMUSG00000120675.1"	"ENSMUSG00000120675"	chr6	+	117860941	117861556	117860941	117861272	117861430	117861556
447	"ENSMUSG00000045411.17"	"2410002F23Rik"	chr7	+	43899732	43901736	43899732	43899764	43900036	43901736
448	"ENSMUSG00000074415.16"	"Mir100hg"	chr9	+	41523855	41526485	41523855	41523967	41524098	41526485
449	"ENSMUSG00000074415.16"	"Mir100hg"	chr9	+	41523855	41526481	41523855	41523967	41524578	41526481
450	"ENSMUSG00000074415.16"	"Mir100hg"	chr9	+	41524578	41526481	41524578	41525950	41526036	41526481
451	"ENSMUSG00000074415.16"	"Mir100hg"	chr9	+	41524578	41526481	41524578	41524777	41526039	41526481
452	"ENSMUSG00000037652.16"	"Phc3"	chr3	-	30990433	30991305	30990433	30990748	30990874	30991305
453	"ENSMUSG00000006567.12"	"Atp7b"	chr8	-	22517545	22518752	22517545	22517695	22518004	22518752
454	"ENSMUSG00000052133.17"	"Sema5b"	chr16	+	35480292	35480753	35480292	35480440	35480527	35480753
455	"ENSMUSG00000090806.4"	"Vmn2r70"	chr7	-	85215055	85215335	85215055	85215117	85215207	85215335
456	"ENSMUSG00000115792.2"	"Vmn1r16"	chr6	-	57295036	57300831	57295036	57297532	57299853	57300831
457	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82573962	82574424	82573962	82574063	82574175	82574424
458	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82573962	82574424	82573962	82574063	82574282	82574424
459	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82574562	82575346	82574562	82574702	82575171	82575346
460	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82574562	82575346	82574562	82574739	82575171	82575346
461	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82575642	82576244	82575642	82575795	82576072	82576244
462	"ENSMUSG00000121506.1"	"ENSMUSG00000121506"	chr15	-	82575642	82576244	82575642	82575795	82576169	82576244
463	"ENSMUSG00000024610.16"	"Cd74"	chr18	+	60945223	60945718	60945223	60945437	60945494	60945718
464	"ENSMUSG00000053117.13"	"E330013P04Rik"	chr19	+	60149492	60150693	60149492	60149538	60149639	60150693
465	"ENSMUSG00000004988.10"	"Fxyd4"	chr6	-	117912814	117913741	117912814	117912880	117913698	117913741
466	"ENSMUSG00000004988.10"	"Fxyd4"	chr6	-	117912814	117913741	117912814	117912883	117913698	117913741
467	"ENSMUSG00000004988.10"	"Fxyd4"	chr6	-	117912814	117913741	117912814	117912967	117913698	117913741
468	"ENSMUSG00000079414.5"	"Gm11110"	chr17	-	57410349	57410484	57410349	57410460	57410461	57410484
469	"ENSMUSG00000032567.17"	"Aste1"	chr9	+	105273743	105275057	105273743	105273904	105273996	105275057
470	"ENSMUSG00000071103.11"	"1700029J07Rik"	chr8	-	46426540	46428289	46426540	46426717	46428115	46428289
471	"ENSMUSG00000059610.6"	"Olfr222"	chr11	-	59461080	59463006	59461080	59462584	59462826	59463006
472	"ENSMUSG00000051051.8"	"Olfr523"	chr7	+	139753147	139754161	139753147	139753417	139753930	139754161
473	"ENSMUSG00000079553.12"	"Kifc1"	chr17	-	34103562	34103960	34103562	34103655	34103715	34103960
474	"ENSMUSG00000059206.5"	"Vmn1r71"	chr7	-	10478469	10483028	10478469	10479808	10481228	10483028
475	"ENSMUSG00000059206.5"	"Vmn1r71"	chr7	-	10478469	10483028	10478469	10480816	10481228	10483028
476	"ENSMUSG00000059206.5"	"Vmn1r71"	chr7	-	10478469	10483028	10478469	10482502	10482949	10483028
477	"ENSMUSG00000059206.5"	"Vmn1r71"	chr7	-	10478469	10483028	10478469	10482803	10482949	10483028
478	"ENSMUSG00000120943.1"	"ENSMUSG00000120943"	chr9	+	101871724	101874744	101871724	101871789	101873865	101874744
479	"ENSMUSG00000028392.16"	"Bspry"	chr4	+	62414234	62415535	62414234	62414808	62415218	62415535
480	"ENSMUSG00000053553.12"	"3110082I17Rik"	chr5	-	139345493	139347143	139345493	139346485	139347061	139347143
481	"ENSMUSG00000109841.4"	"E330011O21Rik"	chr16	-	78047748	78048776	78047748	78048456	78048660	78048776
482	"ENSMUSG00000062175.14"	"Tgif2"	chr2	+	156695048	156697490	156695048	156695148	156695265	156697490
483	"ENSMUSG00000066268.7"	"Olfr586"	chr7	-	102767609	102773723	102767609	102772126	102773308	102773723
484	"ENSMUSG00000087433.3"	"Gm14167"	chr2	-	151383342	151384391	151383342	151383524	151384172	151384391
485	"ENSMUSG00000116840.2"	"Gm21691"	chr16	-	34824288	34824639	34824288	34824337	34824575	34824639
486	"ENSMUSG00000073723.11"	"Gm13102"	chr4	+	143833888	143834488	143833888	143834184	143834229	143834488
487	"ENSMUSG00000117485.3"	"Gm19696"	chr17	-	84442264	84442980	84442264	84442430	84442779	84442980
488	"ENSMUSG00000003031.15"	"Cdkn1b"	chr6	+	134898918	134902476	134898918	134899046	134901205	134902476
489	"ENSMUSG00000100510.9"	"Hand2os1"	chr8	-	57759909	57760206	57759909	57760053	57760113	57760206
490	"ENSMUSG00000100510.9"	"Hand2os1"	chr8	-	57757299	57760210	57757299	57757467	57760113	57760210
